Giocatore,Squadra,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP
Acampora G.,Spezia,C,4,9,-,-,2,-,-,-,-,-,5.55,5.44,-1
Acerbi F.,Lazio,D,13,32,-,1,7,1,-,-,-,-,6.04,5.93,-3.5
Agoume L.,Spezia,C,7,10,-,-,2,-,-,-,-,-,6.2,6.1,-1
Agudelo K.,Spezia,C,12,27,1,1,4,-,-,-,-,-,6.01,6.12,2.9
Akpa Akpro J.,Lazio,C,5,25,-,1,9,-,-,-,-,-,5.66,5.52,-3.5
Alex Sandro L.,Juventus,D,18,24,2,1,2,-,-,-,-,-,6,6.29,7
Alia M.,Lazio,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Alves B.,Parma,D,11,19,1,-,3,-,-,-,-,-,5.68,5.84,3.1
Amione B.,Verona,D,2,-,-,-,-,-,-,-,-,-,-,-,-
Amrabat S.,Fiorentina,C,12,29,-,-,7,-,-,-,-,-,5.91,5.79,-3.5
Anderson D.,Lazio,C,3,2,-,-,-,-,-,-,-,-,5.25,5.25,-
Ansaldi C.,Torino,D,16,25,1,5,1,-,1,1,-,-,6.05,6.4,9.1
Antei L.,Benevento,D,3,-,-,-,-,-,-,-,-,-,-,-,-
Antov V.,Bologna,D,6,4,-,-,1,-,-,-,-,-,5.87,5.75,-0.5
Aresti S.,Cagliari,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Armini N.,Lazio,D,1,-,-,-,-,-,-,-,-,-,-,-,-
Arslan T.,Udinese,C,13,28,3,-,9,-,-,-,-,-,5.92,6.19,7.5
Arthur -.,Juventus,C,16,19,1,-,3,-,-,-,-,-,5.81,5.94,2.5
Asamoah K.,Cagliari,D,7,7,-,-,-,-,-,-,-,-,5.57,5.57,-
Askildsen K.,Sampdoria,C,4,3,-,-,1,-,-,-,-,-,6,5.83,-0.5
Audero E.,Sampdoria,P,20,37,-,1,-,-,-,-,-,2,6.32,5.05,-46.9
Augello T.,Sampdoria,D,12,37,1,3,2,1,-,-,-,-,5.9,6.05,5.6
Avogadri L.,Sampdoria,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Ayhan K.,Sassuolo,D,8,13,-,-,2,-,-,-,-,-,5.73,5.65,-1
Badelj M.,Genoa,C,15,29,1,2,7,-,-,-,-,-,6.12,6.2,2.3
Bakayoko T.,Napoli,C,15,26,2,-,4,1,-,-,-,-,6.05,6.25,5.2
Baldursson A.,Bologna,C,1,4,-,-,1,-,-,-,-,-,5.7,5.5,-1
Balogh B.,Parma,D,1,2,-,-,1,-,-,-,-,-,5.5,5.33,-0.5
Bani M.,Parma,D,8,26,-,-,10,-,-,-,-,-,5.73,5.53,-5.2
Barak A.,Verona,C,21,34,7,3,5,1,-,-,-,-,6.14,6.95,27.5
Barba F.,Benevento,D,6,31,-,2,8,-,-,-,-,-,5.74,5.61,-4
Barella N.,Inter,C,24,36,3,4,5,-,-,-,-,-,6.52,6.9,13.7
Barreca A.,Fiorentina,D,5,2,-,-,-,-,-,-,-,-,5.75,5.75,-
Barrow M.,Bologna,A,21,38,8,8,-,-,1,-,1,-,5.76,6.52,28.9
Baselli D.,Torino,C,11,10,-,-,2,-,-,-,-,-,5.8,5.7,-1
Bastoni A.,Inter,D,15,33,-,2,6,-,-,-,-,-,6.13,6.1,-1
Bastoni S.,Spezia,D,10,21,1,6,7,-,-,-,-,-,6.02,6.35,7
Behrami V.,Genoa,C,7,21,-,-,1,1,-,-,-,-,5.75,5.68,-1.5
Belotti A.,Torino,A,30,34,13,6,4,-,5,4,1,-,6.29,7.47,40.1
Benali A.,Crotone,C,12,17,-,1,2,-,-,-,-,-,5.94,5.94,-
Benassi M.,Verona,C,13,-,-,-,-,-,-,-,-,-,-,-,-
Bennacer I.,Milan,C,12,21,-,1,4,-,-,-,-,-,5.95,5.9,-1.1
Bentancur R.,Juventus,C,12,31,-,3,6,1,-,-,-,-,5.93,5.9,-0.9
Berardi A.,Verona,P,3,1,-,-,-,-,-,-,-,-,6.5,6.5,-
Berardi D.,Sassuolo,T (A),39,30,17,7,4,-,8,7,1,-,6.45,8.21,52.8
Bereszynski B.,Sampdoria,D,12,31,1,-,2,-,-,-,-,-,5.95,6.06,3.4
Bernardeschi F.,Juventus,T (C),12,20,-,2,2,-,-,-,-,-,5.75,5.8,1
Bessa D.,Verona,T (C),11,13,-,2,1,-,-,-,-,-,6,6.11,1.4
Biraghi C.,Fiorentina,D,12,35,1,5,8,-,-,-,-,-,5.85,6.01,5.6
Biraschi D.,Genoa,D,7,13,-,-,2,-,-,-,-,-,5.65,5.57,-1.1
Boer P.,Roma,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Boga J.,Sassuolo,T (A),23,26,4,1,-,-,-,-,-,-,5.88,6.38,13
Bonaventura G.,Fiorentina,C,17,32,3,2,5,-,-,-,-,-,5.87,6.23,11.6
Bonazzoli F.,Torino,A,16,15,2,3,1,-,-,-,-,-,5.76,6.33,8.6
Bonifazi K.,Udinese,D,9,28,-,-,4,-,-,-,-,-,5.89,5.82,-1.9
Bonucci L.,Juventus,D,16,25,2,-,3,-,-,-,-,-,5.9,6.2,7.5
Borja Valero I.,Fiorentina,C,11,9,-,-,3,-,-,-,-,-,5.85,5.7,-1.5
Bourabia M.,Sassuolo,C,10,11,1,-,1,-,-,-,-,-,6,6.31,3.4
Braaf J.,Udinese,T (A),5,4,1,-,-,-,-,-,-,-,5.87,6.62,3
Brancolini F.,Fiorentina,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Bremer G.,Torino,D,21,33,5,-,2,-,-,-,-,-,6.21,6.86,21.5
Breza S.,Bologna,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Brozovic M.,Inter,C,18,33,2,6,7,1,-,-,-,-,6.03,6.31,9.2
Brugman G.,Parma,C,13,24,1,1,7,-,-,-,-,-,6.08,6.14,1.5
Brunetta J.,Parma,T (C),13,11,1,2,3,-,-,-,-,-,5.59,6,4.5
Buffon G.,Juventus,P,11,8,-,-,-,-,-,-,-,1,6.5,6.25,-2
Buongiorno A.,Torino,D,4,12,-,-,4,-,-,-,-,-,6,5.83,-2
Busi M.,Parma,D,5,19,-,1,3,-,-,-,-,-,5.34,5.31,-0.6
Caceres M.,Fiorentina,D,12,26,2,1,4,-,-,-,-,-,5.67,5.98,8.1
Caicedo F.,Lazio,A,23,22,8,-,5,-,1,1,-,-,6.18,7.15,21.3
Calabresi A.,Cagliari,D,3,1,-,-,-,-,-,-,-,-,6,6,-
Calabria D.,Milan,D,15,31,2,1,7,-,-,-,-,-,6.3,6.45,4.7
Calafiori R.,Roma,D,1,2,-,-,2,-,-,-,-,-,5.25,4.75,-1
Caldara M.,Atalanta,D,9,3,-,-,1,-,-,-,-,-,5.66,5.5,-0.5
Caldirola L.,Benevento,D,9,21,2,-,4,1,-,-,-,-,5.71,6,6.1
Calhanoglu H.,Milan,T (C),24,33,4,9,4,-,1,1,-,-,6.16,6.86,23.1
Callejon J.,Fiorentina,T (C),14,13,-,1,-,-,-,-,-,-,5.46,5.53,0.9
Candreva A.,Sampdoria,C,21,33,5,7,1,-,2,2,-,-,6.01,6.81,26.4
Capradossi E.,Spezia,D,4,1,-,-,-,-,-,-,-,-,7,7,-
Caprari G.,Benevento,T (A),16,29,5,6,3,1,1,-,1,-,5.82,6.36,15.6
Caputo F.,Sassuolo,A,32,24,11,3,1,-,3,3,-,-,5.91,7.39,35.6
Carboni A.,Cagliari,D,6,14,-,1,2,-,-,-,-,-,5.71,5.71,-
Caso G.,Genoa,T (A),2,1,-,-,-,-,-,-,-,-,6.5,6.5,-
Cassata F.,Genoa,C,6,5,-,-,2,-,-,-,-,-,5.5,5.3,-1
Castillejo S.,Milan,T (C),13,24,1,-,3,-,-,-,-,-,5.87,5.97,2.4
Castrovilli G.,Fiorentina,C,16,32,5,3,8,1,-,-,-,-,5.85,6.42,18.2
Cataldi D.,Lazio,C,7,13,-,-,4,-,-,-,-,-,5.46,5.3,-2.1
Ceccherini F.,Verona,D,10,27,-,-,10,-,-,-,-,-,5.98,5.72,-7.1
Ceppitelli L.,Cagliari,D,11,19,-,-,3,-,-,-,-,-,6.05,5.97,-1.6
Cerri A.,Cagliari,A,10,11,1,-,1,-,-,-,-,-,5.81,6.04,2.5
Cetin M.,Verona,D,4,5,-,-,1,-,-,-,-,-,5.75,5.66,-0.5
Chabot J.,Spezia,D,6,22,1,1,9,1,-,-,-,-,5.56,5.56,-
Chiellini G.,Juventus,D,13,16,-,-,4,-,-,-,-,-,6.09,5.84,-4
Chiesa F.,Juventus,T (C),31,30,9,5,3,1,-,-,-,-,6.41,7.7,38.7
Chiriches V.,Sassuolo,D,11,23,2,1,6,-,-,-,-,-,5.73,5.95,5.1
Cigarini L.,Crotone,C,9,13,-,-,3,1,-,-,-,-,6.11,5.92,-2.4
Cleonise D.,Genoa,T (A),1,-,-,-,-,-,-,-,-,-,-,-,-
Colley E.,Verona,T (A),11,18,1,-,1,-,-,-,-,-,5.91,6.05,2.5
Colley O.,Sampdoria,D,14,29,2,-,6,-,-,-,-,-,6.01,6.22,6.1
Colombi S.,Parma,P,1,2,-,-,-,-,-,-,-,-,6.25,2.75,-7
Consigli A.,Sassuolo,P,20,37,-,-,1,-,-,-,-,1,6.37,4.93,-53.3
Conti A.,Parma,D,9,9,-,-,3,-,-,-,-,-,5.44,5.27,-1.6
Contini N.,Napoli,P,2,-,-,-,-,-,-,-,-,-,-,-,-
Cordaz A.,Crotone,P,5,36,-,-,1,-,-,-,-,-,6.06,3.52,-91.5
Cornelius A.,Parma,A,15,29,1,4,4,-,-,-,-,-,5.63,5.81,5.2
Correa C.,Lazio,T (A),27,28,8,3,1,1,1,1,-,-,5.91,6.82,25.5
Cragno A.,Cagliari,P,20,34,-,-,1,-,-,-,-,-,6.35,4.77,-53.7
Crespi G.,Crotone,P,3,1,-,-,-,-,-,-,-,-,7,7,-
Criscito D.,Genoa,D,17,22,1,-,6,-,1,1,-,-,6.04,6.11,1.5
Cristante B.,Roma,C,14,31,1,1,7,-,-,-,-,-,6.01,6,-0.3
Cuadrado J.,Juventus,D,23,29,2,9,9,1,1,1,-,-,6.32,6.75,12.5
Cuomo G.,Crotone,D,4,12,-,-,4,-,-,-,-,-,5.54,5.37,-2.1
Cyprien W.,Parma,C,12,10,-,-,2,-,-,-,-,-,5.5,5.4,-1
Czyborra L.,Genoa,D,9,16,1,-,2,-,-,-,-,-,5.78,6,3.5
Da Costa A.,Bologna,P,3,6,-,-,2,-,-,-,-,-,5.58,3.91,-10
Dabo B.,Benevento,C,9,18,-,-,4,-,-,-,-,-,5.77,5.66,-2
Dalot D.,Milan,D,11,18,1,1,4,-,-,-,-,-,5.83,6.02,3.5
Dambrosio D.,Inter,D,18,9,3,-,1,-,-,-,-,-,6,7.44,13
Damsgaard M.,Sampdoria,T (C),14,30,2,3,3,-,-,-,-,-,5.98,6.3,9.6
Danilo -.,Juventus,D,14,34,1,4,6,-,-,-,-,-,6.05,6.22,5.8
Danilo L.,Bologna,D,9,35,-,1,8,-,-,-,-,-,5.81,5.72,-3.2
Darboe E.,Roma,C,5,4,-,-,2,-,-,-,-,-,5.87,5.62,-1
Darmian M.,Inter,D,19,22,3,3,4,-,-,-,-,-,6.18,6.84,14.5
Dawidowicz P.,Verona,D,7,27,-,-,8,-,-,-,-,-,5.85,5.7,-4.1
De Ligt M.,Juventus,D,18,25,1,1,4,-,-,-,-,-,6.16,6.3,3.5
De Maio S.,Udinese,D,8,11,-,-,-,-,-,-,-,-,5.77,5.77,-
De Paul R.,Udinese,T (C),32,36,9,7,3,2,3,3,-,-,6.54,7.63,39.3
De Roon M.,Atalanta,C,18,35,1,1,7,1,-,-,-,-,6.45,6.47,0.7
De Silvestri L.,Bologna,D,12,28,2,-,4,-,-,-,-,-,5.82,6.07,7
De Vrij S.,Inter,D,20,32,1,-,2,-,-,-,-,-,6.31,6.42,3.5
Defrel G.,Sassuolo,A,15,28,3,2,1,-,-,-,-,-,5.82,6.19,10.3
Deiola A.,Cagliari,C,8,16,-,-,3,-,-,-,-,-,5.73,5.64,-1.5
Dellorco C.,Spezia,D,6,6,-,-,-,-,-,-,-,-,5.58,5.58,-
Demiral M.,Juventus,D,12,11,-,1,1,-,-,-,-,-,5.86,5.9,0.4
Demme D.,Napoli,C,17,21,2,2,6,-,-,-,-,-,6.3,6.64,7.1
Depaoli F.,Benevento,C,7,20,-,-,2,-,-,-,-,-,5.57,5.42,-3
Destro M.,Genoa,A,21,25,11,1,5,-,-,-,-,-,6,7.26,31.5
Deulofeu G.,Udinese,T (A),20,11,1,1,-,-,-,-,-,-,6.04,6.4,4
Di Carmine S.,Crotone,A,12,18,-,-,2,-,-,-,-,-,5.61,5.55,-1.1
Di Lorenzo G.,Napoli,D,19,36,3,3,11,-,-,-,-,-,6,6.3,10.8
Di Serio G.,Benevento,A,1,8,-,-,-,-,-,-,-,-,5.68,5.68,-
Diawara A.,Roma,C,11,10,1,-,2,1,-,-,-,-,5.6,5.8,2
Diaz B.,Milan,T (C),20,24,4,3,2,-,-,-,-,-,6.12,6.87,18
Dierckx D.,Parma,D,1,7,-,-,1,-,-,-,-,-,5.42,5.35,-0.4
Dijks M.,Bologna,D,7,20,-,-,5,1,-,-,-,-,5.8,5.62,-3.6
Dimarco F.,Verona,D,21,35,5,3,6,-,-,-,-,-,6.27,6.91,22.4
Djidji K.,Crotone,D,8,18,1,-,4,-,-,-,-,-,5.63,5.77,2.6
Djimsiti B.,Atalanta,D,16,33,-,2,8,-,-,-,-,-,6.4,6.34,-2
Djuricic F.,Sassuolo,T (C),19,30,5,3,5,-,1,1,-,-,6,6.68,20.4
Dominguez N.,Bologna,C,10,25,1,-,8,-,-,-,-,-,5.82,5.82,-
Donnarumma A.,Milan,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Donnarumma G.,Milan,P,24,37,-,-,1,-,-,-,-,1,6.43,5.47,-35.5
Dragowski B.,Fiorentina,P,18,36,-,-,-,-,-,-,-,2,6.23,4.87,-49
Dragus D.,Crotone,A,5,5,-,-,-,-,-,-,-,-,5.2,5.2,-
Dragusin R.,Juventus,D,1,-,-,-,-,-,-,-,-,-,-,-,-
Duncan A.,Cagliari,C,13,17,-,1,1,-,-,-,-,-,5.82,5.85,0.6
Dybala P.,Juventus,T (A),28,19,4,3,-,-,-,-,-,-,5.86,6.65,15.1
Dzeko E.,Roma,A,25,25,7,3,2,-,1,-,1,-,5.98,6.78,20
Ebongue S.,Genoa,C,1,2,-,-,-,-,-,-,-,-,6,6,-
Ekdal A.,Sampdoria,C,13,29,2,1,9,-,-,-,-,-,5.94,6.1,4.6
El Shaarawy S.,Roma,T (A),17,10,1,-,1,-,-,-,-,-,5.65,5.9,2.5
Elmas E.,Napoli,C,13,17,2,-,2,-,-,-,-,-,5.73,6.14,7
Eriksen C.,Inter,T (C),24,24,3,-,1,-,-,-,-,-,6.06,6.54,11.6
Erlic M.,Spezia,D,15,23,3,1,6,-,-,-,-,-,5.95,6.45,11.5
Escalante G.,Lazio,C,8,18,-,-,5,-,-,-,-,-,5.8,5.66,-2.5
Estevez N.,Spezia,C,10,26,-,3,7,-,-,-,-,-,5.92,5.9,-0.5
Eysseric V.,Fiorentina,T (C),10,13,2,-,2,-,-,-,-,-,5.69,6.23,7
Fagioli N.,Juventus,C,1,1,-,-,-,-,-,-,-,-,6,6,-
Farago P.,Bologna,D,7,6,-,-,2,-,-,-,-,-,5.58,5.41,-1
Faraoni D.,Verona,D,23,34,4,5,8,-,-,-,-,-,6.11,6.67,19.1
Farelli S.,Roma,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Fares M.,Lazio,D,6,21,-,1,5,-,-,-,-,-,5.38,5.3,-1.7
Farias D.,Spezia,T (A),14,26,4,2,5,-,-,-,-,-,5.79,6.22,11.6
Favilli A.,Verona,A,13,10,2,-,1,-,-,-,-,-,5.75,6.3,5.5
Fazio F.,Roma,D,11,5,1,-,2,-,-,-,-,-,5.6,6.3,3.5
Ferigra E.,Torino,D,1,-,-,-,-,-,-,-,-,-,-,-,-
Ferrari A.,Sampdoria,D,5,10,-,-,3,-,-,-,-,-,5.75,5.6,-1.5
Ferrari G.,Sassuolo,D,13,34,-,2,7,-,-,-,-,-,6.05,6.01,-1.4
Ferrer S.,Spezia,D,6,16,-,1,4,-,-,-,-,-,5.78,5.71,-1.1
Festa M.,Crotone,P,2,1,-,-,-,-,-,-,-,-,7,6,-1
Forestieri F.,Udinese,A,11,15,1,-,1,-,-,-,-,-,5.71,5.93,3.5
Foulon D.,Benevento,D,4,19,-,-,4,-,-,-,-,-,5.57,5.36,-4
Frabotta G.,Juventus,D,4,8,-,1,2,-,-,-,-,-,5.56,5.56,-
Freuler R.,Atalanta,C,23,33,2,3,4,-,-,-,-,-,6.57,6.84,8.9
Fuzato D.,Roma,P,5,5,-,-,-,-,-,-,-,-,6.3,4.9,-7
Gabbia M.,Milan,D,5,7,-,-,2,-,-,-,-,-,6.07,5.92,-1.1
Gabbiadini M.,Sampdoria,A,23,16,3,2,1,-,1,1,-,-,6.15,6.81,10.6
Gagliardini R.,Inter,C,17,21,3,2,2,-,-,-,-,-,6.07,6.69,13
Gagliolo R.,Parma,D,13,26,2,-,6,-,-,-,-,-,5.75,5.98,6
Gaich A.,Benevento,A,14,13,2,-,-,-,-,-,-,-,5.57,6.03,6
Galabinov A.,Spezia,A,11,8,3,-,-,-,1,-,1,-,5.93,6.68,6
Gasparini M.,Udinese,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Gervinho,Parma,T (A),17,27,5,1,-,-,-,-,-,-,5.55,6.14,15.9
Ghiglione P.,Genoa,D,9,23,-,4,4,-,-,-,-,-,5.78,5.86,1.9
Ghoulam F.,Napoli,D,12,6,-,-,1,-,-,-,-,-,5.85,5.78,-0.5
Glik K.,Benevento,D,12,36,2,-,8,1,-,-,-,-,5.83,5.88,1.8
Godin D.,Cagliari,D,14,28,1,-,3,-,-,-,-,-,5.91,6.01,2.8
Gojak A.,Torino,T (C),11,12,1,1,1,-,-,-,-,-,5.7,6.08,4.6
Goldaniga E.,Genoa,D,9,24,-,1,8,-,-,-,-,-,5.89,5.77,-2.9
Golemic V.,Crotone,D,5,28,2,-,4,1,1,1,-,-,5.3,5.51,5.9
Gollini P.,Atalanta,P,20,25,-,-,-,1,-,-,-,2,6.24,5.4,-21
Gori P.,Benevento,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Gosens R.,Atalanta,D,32,32,11,6,7,1,-,-,-,-,6.42,7.95,49
Grassi A.,Parma,C,6,21,-,-,3,-,-,-,-,-,5.66,5.5,-3.4
Gunter K.,Verona,D,10,24,-,1,4,-,-,-,-,-,6,5.95,-1.2
Gyasi E.,Spezia,T (A),16,36,4,6,4,-,-,-,-,-,5.83,6.27,15.8
Hakimi A.,Inter,D,29,35,7,8,6,-,-,-,-,-,6.38,7.42,36.4
Handanovic S.,Inter,P,23,37,-,-,1,-,-,-,-,2,6,5.22,-28.9
Haraslin L.,Sassuolo,T (A),8,11,-,-,1,1,-,-,-,-,5.72,5.59,-1.4
Hateboer H.,Atalanta,D,17,22,2,1,3,-,-,-,-,-,6.2,6.59,8.6
Hauge J.,Milan,T (A),14,12,2,-,-,-,-,-,-,-,6,6.5,6
Henrique E.,Crotone,C,6,17,1,-,4,-,-,-,-,-,5.44,5.55,1.9
Hernandez T.,Milan,D,27,33,7,5,9,-,-,-,-,-,6.16,7.13,32
Hernani A.,Parma,C,18,31,7,3,11,-,1,1,-,-,5.8,6.62,25.4
Hetemaj P.,Benevento,C,12,29,-,2,5,-,-,-,-,-,6.03,6.01,-0.6
Hickey A.,Bologna,D,5,11,-,-,3,1,-,-,-,-,5.86,5.63,-2.6
Hoedt W.,Lazio,D,5,12,-,-,6,-,-,-,-,-,5.29,5.04,-3
Hysaj E.,Napoli,D,10,21,-,1,2,-,-,-,-,-,5.9,5.9,-
Iacoponi S.,Parma,D,7,15,-,-,3,1,-,-,-,-,5.76,5.33,-6.4
Iago F.,Benevento,T (A),19,9,1,1,-,-,-,-,-,-,6,6.44,4
Ibanez -.,Roma,D,7,30,-,1,5,1,-,-,-,-,5.81,5.66,-4.5
Ibrahimovic Z.,Milan,A,38,18,15,2,2,1,6,3,3,-,6.5,8.5,36
Igor Julio d.,Fiorentina,D,8,18,-,-,5,-,-,-,-,-,5.88,5.75,-2.3
Ilic I.,Verona,C,11,27,2,-,2,-,-,-,-,-,5.98,6.24,7
Ilicic J.,Atalanta,T (A),30,28,6,9,2,-,2,2,-,-,6.19,7.12,26.1
Immobile C.,Lazio,A,39,35,20,4,3,1,8,4,4,-,6.2,7.61,49.4
Improta R.,Benevento,T (C),9,33,1,-,7,-,-,-,-,-,5.9,5.86,-1.3
Inglese R.,Parma,A,14,13,-,2,2,-,-,-,-,-,5.57,5.65,1.1
Insigne L.,Napoli,T (A),39,34,19,7,2,1,8,7,1,-,6.37,8.05,58.8
Insigne R.,Benevento,T (A),12,28,2,4,2,-,-,-,-,-,5.69,6.01,9
Ionita A.,Benevento,C,13,36,2,-,6,-,-,-,-,-,5.73,5.87,5
Ismajli A.,Spezia,D,10,16,1,1,1,1,-,-,-,-,6,6.25,4
Izzo A.,Torino,D,18,25,2,-,3,-,-,-,-,-,6.4,6.7,7.5
Jajalo M.,Udinese,C,7,1,-,-,-,-,-,-,-,-,5,5,-
Jankto J.,Sampdoria,C,19,33,6,3,5,-,-,-,-,-,6,6.74,24.4
Joao Pedro G.,Cagliari,T (A),31,37,16,3,4,-,5,4,1,-,6.09,7.33,45.9
Juan Jesus G.,Roma,D,4,4,-,-,-,-,-,-,-,-,5.75,5.75,-
Juwara M.,Bologna,T (A),5,3,-,-,1,-,-,-,-,-,6.16,6,-0.5
Kalinic N.,Verona,A,15,18,2,-,2,-,-,-,-,-,5.75,6.02,4.9
Kalulu P.,Milan,D,6,10,1,-,1,-,-,-,-,-,6,6.4,4
Karamoh Y.,Parma,T (A),11,21,2,1,1,-,-,-,-,-,5.59,5.9,6.5
Karsdorp R.,Roma,D,13,34,1,6,2,-,-,-,-,-,5.95,6.23,9.5
Keita B.,Sampdoria,A,20,22,7,1,4,1,-,-,-,-,5.95,6.81,18.9
Kessie F.,Milan,C,33,37,13,4,8,-,13,11,2,-,6.52,7.77,46.3
Kjaer S.,Milan,D,15,28,-,1,3,-,-,-,-,-,6.32,6.3,-0.6
Klavan R.,Cagliari,D,6,12,-,-,1,-,-,-,-,-,5.54,5.5,-0.5
Kokorin A.,Fiorentina,A,14,3,-,-,1,-,-,-,-,-,5.16,5,-0.5
Kolarov A.,Inter,D,19,4,-,1,-,-,-,-,-,-,5.25,5.5,1
Kouame C.,Fiorentina,A,13,22,1,1,2,-,-,-,-,-,5.63,5.77,3
Koulibaly K.,Napoli,D,15,25,-,-,8,1,-,-,-,-,6.12,5.92,-5
Kovalenko V.,Atalanta,T (C),13,-,-,-,-,-,-,-,-,-,-,-,-
Krapikas T.,Spezia,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Krunic R.,Milan,C,11,17,1,2,2,-,-,-,-,-,5.76,6.05,5
Kucka J.,Parma,C,24,28,7,2,8,-,4,4,-,-,6.03,6.96,26.1
Kulusevski D.,Juventus,T (C),21,33,4,3,7,-,-,-,-,-,6.06,6.53,15.5
Kumbulla M.,Roma,D,12,18,1,-,7,-,-,-,-,-,5.83,5.88,0.9
Kurtic J.,Parma,C,13,34,4,-,5,-,-,-,-,-,5.63,6.02,13.3
Kyriakopoulos G.,Sassuolo,D,11,21,1,-,1,1,-,-,-,-,5.88,6.02,2.9
La Gumina A.,Sampdoria,A,7,6,-,-,-,-,-,-,-,-,5.66,5.66,-
Lammers S.,Atalanta,A,16,8,2,-,-,-,-,-,-,-,5.93,6.68,6
Lapadula G.,Benevento,A,22,36,8,2,2,-,1,-,1,-,5.9,6.51,22
Larsen J.,Udinese,D,17,32,2,-,-,-,-,-,-,-,6.03,6.31,8.9
Lasagna K.,Verona,A,15,34,4,-,1,-,-,-,-,-,5.64,5.98,11.5
Laurini V.,Parma,D,5,12,-,-,1,-,-,-,-,-,5.54,5.5,-0.5
Lazovic D.,Verona,C,20,31,3,6,3,-,-,-,-,-,6.03,6.56,16.5
Lazzari M.,Lazio,D,16,32,2,4,2,1,-,-,-,-,6.04,6.32,8.9
Leao R.,Milan,A,18,29,6,6,4,-,-,-,-,-,5.94,6.7,22
Leiva L.,Lazio,C,11,32,-,-,10,-,-,-,-,-,5.82,5.67,-4.8
Leris M.,Sampdoria,C,8,10,-,-,1,-,-,-,-,-,5.9,5.85,-0.5
Letica K.,Sampdoria,P,3,1,-,-,-,-,-,-,-,-,6.5,6.5,-
Letizia G.,Benevento,D,15,22,3,1,2,-,-,-,-,-,6.09,6.7,13.4
Linetty K.,Torino,C,10,25,1,-,5,-,-,-,-,-,5.46,5.52,1.5
Llorente F.,Udinese,A,12,15,1,-,2,-,-,-,-,-,5.63,5.76,1.9
Lobotka S.,Napoli,C,10,4,-,-,1,-,-,-,-,-,5.75,5.62,-0.5
Locatelli M.,Sassuolo,C,21,34,4,1,9,-,2,2,-,-,6.36,6.73,12.6
